lambda,alexa,atto,cerulean,mito_orange
400.0,0.0,0.0,0.0,0.0
410.29411764705884,0.0,0.0,0.0,0.0
420.5882352941176,0.0,0.0,0.0,0.0
430.88235294117646,0.0,0.0,0.0,0.0
441.1764705882353,0.0,0.0,0.0025470217909006965,0.0
451.47058823529414,0.0,0.0,0.04403148087508544,0.0
461.7647058823529,0.0,0.0,0.3417968745617288,0.0
472.05882352941177,0.0,0.0,0.9278218023040702,0.0
482.3529411764706,0.0,0.00035294119323439643,0.9267590514877274,0.0
492.6470588235294,0.0,0.02188235291909832,0.856591843068599,0.0
502.94117647058823,0.0,0.24058823748354352,0.8998967843020695,0.0
513.2352941176471,0.0,0.6404705900109968,0.755810752949294,0.0
523.5294117647059,0.0,0.9907646961578676,0.5438507492927918,0.0
533.8235294117648,0.0,0.8857058928800046,0.425183877787167,0.0
544.1176470588235,0.0,0.6415293964023171,0.3409660033443395,0.07625660716611221
554.4117647058824,0.0,0.46847059205859104,0.2485696449875803,0.31590361082378604
564.7058823529412,0.0,0.356941171654715,0.17360417238052875,0.728853535783643
575.0,0.0,0.2609999944688725,0.1221304163336731,0.941206898540258
585.2941176470588,0.05320849905119364,0.18094117699108866,0.09029270314118433,0.7875110171735283
595.5882352941177,0.3019360152675847,0.12205882393070351,0.06750899553298988,0.5192052001023941
605.8823529411765,0.6826821712448311,0.0852352965910758,0.04802834111101523,0.33099137312349225
616.1764705882354,0.9258893208906955,0.05882352832293855,0.03317369170048665,0.24217013203922597
626.4705882352941,0.8649055578691138,0.04305882511578262,0.0310023091733451,0.1893538409734456
636.7647058823529,0.6469390749493081,0.029999999445863502,0.0310023091733451,0.13847813163610218
647.0588235294117,0.4425605629735116,0.020882352755186195,0.0310023091733451,0.08179189681129997
657.3529411764706,0.3131789746968159,0.0179999993415545,0.0310023091733451,0.03172670677304228
667.6470588235295,0.24329326849649763,0.0179999993415545,0.0310023091733451,0.0067700496052986794
677.9411764705883,0.18944786291788457,0.0179999993415545,0.0310023091733451,0.0
688.2352941176471,0.1384985541157877,0.0179999993415545,0.0310023091733451,0.0
698.5294117647059,0.09374949752407795,0.0179999993415545,0.0310023091733451,0.0
708.8235294117648,0.04910702850012107,0.0179999993415545,0.0310023091733451,0.0
719.1176470588235,0.01463722459533616,0.0179999993415545,0.0310023091733451,0.0
729.4117647058824,0.0,0.0179999993415545,0.0310023091733451,0.0
739.7058823529412,0.0,0.0179999993415545,0.0310023091733451,0.0
750.0,0.0,0.0179999993415545,0.0310023091733451,0.0
